timestamp,eng_unit,acc_unit,simulated,tow,mag_x,mag_y,mag_z,amqp_topic
2025-11-18 21:38:29.425993,Microteslas,,false,2147483648,-133,-236,123,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.529253,Microteslas,,false,2147483648,-133,-234,124,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.587034,Microteslas,,false,2147483648,-132,-234,124,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.668789,Microteslas,,false,2147483648,-137,-235,124,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.748314,Microteslas,,false,2147483648,-138,-234,125,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.830031,Microteslas,,false,2147483648,-137,-233,125,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.919335,Microteslas,,false,2147483648,-135,-235,122,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.990853,Microteslas,,false,2147483648,-136,-234,124,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.071988,Microteslas,,false,2147483648,-133,-234,125,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.152372,Microteslas,,false,2147483648,-136,-235,124,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.233393,Microteslas,,false,2147483648,-137,-234,125,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.326836,Microteslas,,false,2147483648,-137,-234,122,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.393440,Microteslas,,false,2147483648,-137,-234,125,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.475193,Microteslas,,false,2147483648,-136,-235,124,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.556013,Microteslas,,false,2147483648,-135,-235,125,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.636630,Microteslas,,false,2147483648,-132,-234,124,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:30.722879,Microteslas,,false,2147483648,-134,-235,125,NAV.nav0.MAG_CALIBRATED
